prey,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,,,,100.00,100.00,,100.00,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,,,100.00,
2,,,,100.00,100.00,,100.00,100.00,100.00,,,,,100.00,,,,,,,,,,,,,,,,
3,,,,100.00,100.00,,100.00,,,,,,,100.00,,,,,,,,,100.00,,,,100.00,100.00,100.00,100.00
4,,,,100.00,100.00,100.00,100.00,100.00,100.00,,,,,100.00,,,,,,,,,100.00,,,,100.00,100.00,100.00,100.00
5,,,,,,100.00,,100.00,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,100.00,,100.00,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,100.00,100.00,,,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
8,,,,,,,,100.00,,,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
9,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
10,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
11,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,
12,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,
13,,,,,,,,,,,100.00,100.00,100.00,,,100.00,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
14,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
15,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,100.00,,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
16,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,100.00,,100.00,100.00,100.00
17,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,100.00,100.00,,,,,,,,,,,
18,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,100.00,100.00,,,,,,,,,,,
19,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,,,100.00,100.00,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,100.00,100.00,100.00,100.00
21,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,100.00,100.00,100.00,100.00
22,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,100.00,100.00,100.00,100.00
23,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,100.00,100.00,100.00,
24,,,,,,,,,,,,,100.00,,,,,,,,,100.00,100.00,,,,100.00,100.00,100.00,100.00
25,,,,,,,,,,,,,100.00,,,,,,,,,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,100.00
26,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,,100.00,100.00,100.00,100.00,100.00,100.00
27,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,,,,100.00,100.00,100.00,100.00
28,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,,100.00
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00
30,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,100.00